# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Nov  5 13:31:29 2024
#
# User preference: *
#
# CONSTRAINT:  order by plntname asc
#
# COLUMN plntname:       Planet Name
# COLUMN centralwavelng: Central Wavelength [microns]
# COLUMN bandwidth:      Band Width [microns]
# COLUMN plntransdep:    Transit Depth [percentage]
# COLUMN plntransdeperr1: Transit Depth Upper Unc. [percentage]
# COLUMN plntransdeperr2: Transit Depth Lower Unc. [percentage]
# COLUMN plntransdeplim: Transit Depth Limit Flag
# COLUMN plnradj:        Planet Radius [Jupiter radii]
# COLUMN plnradjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN plnradjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN plnradjlim:     Planet Radius Limit Flag
# COLUMN plnratror:      Ratio of Planet to Stellar Radius
# COLUMN plnratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.
# COLUMN plnratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.
# COLUMN plnratrorlim:   Ratio of Planet to Stellar Radius Limit Flag
# COLUMN plntranmid:     Transit Mid-Point [BJD]
# COLUMN plntranmiderr1: Transit Mid-Point Upper Unc. [BJD]
# COLUMN plntranmiderr2: Transit Mid-Point Lower Unc. [BJD]
# COLUMN plntranmidlim:  Transit Mid-Point Limit Flag
# COLUMN plntranreflink: Reference
# COLUMN facility:       Facility
# COLUMN instrument:     Instrument
#
plntname,centralwavelng,bandwidth,plntransdep,plntransdeperr1,plntransdeperr2,plntransdeplim,plnradj,plnradjerr1,plnradjerr2,plnradjlim,plnratror,plnratrorerr1,plnratrorerr2,plnratrorlim,plntranmid,plntranmiderr1,plntranmiderr2,plntranmidlim,plntranreflink,facility,instrument
55 Cnc e,0.5640,0.2140,,,,,,,,,0.01980,0.00130,-0.00140,0,,,,,<a refstr=DE_MOOIJ_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...797L..21D/abstract target=ref>de Mooij et al. 2014</a>,Nordic Optical Telescope,ALFOSC
55 Cnc e,0.4735,0.0290,,,,,,,,,0.01800,0.00160,-0.00170,0,,,,,<a refstr=DE_MOOIJ_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...797L..21D/abstract target=ref>de Mooij et al. 2014</a>,Nordic Optical Telescope,ALFOSC
55 Cnc e,0.5025,0.0290,,,,,,,,,0.02110,0.00140,-0.00150,0,,,,,<a refstr=DE_MOOIJ_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...797L..21D/abstract target=ref>de Mooij et al. 2014</a>,Nordic Optical Telescope,ALFOSC
55 Cnc e,0.5320,0.0300,,,,,,,,,0.01980,0.00140,-0.00150,0,,,,,<a refstr=DE_MOOIJ_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...797L..21D/abstract target=ref>de Mooij et al. 2014</a>,Nordic Optical Telescope,ALFOSC
55 Cnc e,0.5625,0.0310,,,,,,,,,0.02120,0.00130,-0.00130,0,,,,,<a refstr=DE_MOOIJ_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...797L..21D/abstract target=ref>de Mooij et al. 2014</a>,Nordic Optical Telescope,ALFOSC
55 Cnc e,0.5935,0.0310,,,,,,,,,0.02010,0.00130,-0.00140,0,,,,,<a refstr=DE_MOOIJ_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...797L..21D/abstract target=ref>de Mooij et al. 2014</a>,Nordic Optical Telescope,ALFOSC
55 Cnc e,0.6245,0.0310,,,,,,,,,0.02210,0.00120,-0.00130,0,,,,,<a refstr=DE_MOOIJ_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...797L..21D/abstract target=ref>de Mooij et al. 2014</a>,Nordic Optical Telescope,ALFOSC
55 Cnc e,0.6560,0.0320,,,,,,,,,0.02110,0.00120,-0.00130,0,,,,,<a refstr=DE_MOOIJ_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...797L..21D/abstract target=ref>de Mooij et al. 2014</a>,Nordic Optical Telescope,ALFOSC
55 Cnc e,4.5000,,0.041000,0.006300,-0.006300,0,0.186,0.014,-0.015,0,0.02020,0.00150,-0.00160,0,2455568.026500,0.001500,-0.001000,0,<a refstr=DEMORY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...533A.114D/abstract target=ref>Demory et al. 2011</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
55 Cnc e,4.5000,,0.048400,0.007400,-0.007400,0,,,,,,,,,2455567.500000,1.000000,-1.000000,0,<a refstr=DEMORY_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.455.2018D/abstract target=ref>Demory et al. 2016</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
